I0731 07:30:37.916696       1 session.go:279] Open Session bef781a4-8fe2-4f0d-8b59-09ebdf2bcf85 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:37.917239       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:37.917263       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:37.917334       1 session.go:577] Close Session bef781a4-8fe2-4f0d-8b59-09ebdf2bcf85
I0731 07:30:38.917867       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:38.917920       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:38.917946       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:38.917970       1 session.go:279] Open Session 6fe2bf86-d109-439f-9666-bbad41da249f with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:38.918581       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:38.918607       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:38.918690       1 session.go:577] Close Session 6fe2bf86-d109-439f-9666-bbad41da249f
I0731 07:30:39.920117       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:39.920204       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:39.920233       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:39.920258       1 session.go:279] Open Session 850b46e8-ac6e-4bab-866f-bcab83792c01 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:39.920860       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:39.920885       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:39.920982       1 session.go:577] Close Session 850b46e8-ac6e-4bab-866f-bcab83792c01
I0731 07:30:40.922223       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:40.922273       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:40.922299       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:40.922326       1 session.go:279] Open Session c7d81f4e-1d7e-4c38-88a7-045fd608c9c8 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:40.922818       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:40.922841       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:40.922919       1 session.go:577] Close Session c7d81f4e-1d7e-4c38-88a7-045fd608c9c8
I0731 07:30:41.924297       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:41.924331       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:41.924351       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:41.924374       1 session.go:279] Open Session 76198414-d2d9-49b2-8ddd-e10b9a3559cf with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:41.924778       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:41.924798       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:41.924851       1 session.go:577] Close Session 76198414-d2d9-49b2-8ddd-e10b9a3559cf
I0731 07:30:42.926288       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:42.926336       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:42.926362       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:42.926388       1 session.go:279] Open Session 391ef0be-1701-4a61-abe0-f50d68649319 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:42.926912       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:42.926936       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:42.927021       1 session.go:577] Close Session 391ef0be-1701-4a61-abe0-f50d68649319
I0731 07:30:43.928044       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:43.928096       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:43.928122       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:43.928147       1 session.go:279] Open Session bdfe53da-d4b6-45c6-b039-c656f03177eb with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:43.928639       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:43.928666       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:43.928751       1 session.go:577] Close Session bdfe53da-d4b6-45c6-b039-c656f03177eb
I0731 07:30:44.929882       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:44.929926       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:44.929950       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:44.929975       1 session.go:279] Open Session 51d13bc1-3d8a-4eb0-95a9-08dbe8d262fb with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:44.930486       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:44.930511       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:44.930594       1 session.go:577] Close Session 51d13bc1-3d8a-4eb0-95a9-08dbe8d262fb
I0731 07:30:45.931021       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:45.931049       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:45.931065       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:45.931086       1 session.go:279] Open Session 259f45c8-3eaa-45cd-b76b-13ee2707c062 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:45.931441       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:45.931460       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:45.931510       1 session.go:577] Close Session 259f45c8-3eaa-45cd-b76b-13ee2707c062
I0731 07:30:46.481416       1 cache.go:1771] The metrics type is not set in the volcano scheduler configmap file. As a result, the CPU and memory load information of the node is not collected.
I0731 07:30:46.932345       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:46.932387       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:46.932410       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:46.932433       1 session.go:279] Open Session 883cdf61-2c68-49d7-bdcd-c0c7132ce7ef with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:46.932884       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:46.932908       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:46.932980       1 session.go:577] Close Session 883cdf61-2c68-49d7-bdcd-c0c7132ce7ef
I0731 07:30:47.934223       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
